device_id,timestamp,co,so2,no2,pm1_0,pm2_5,pm10,temperature,humidity
node_01,2026-04-27T17:30:15,0.0,0.0,0.0,7.0,9.0,10.0,29.5,45.7
node_01,2026-04-27T17:31:15,0.0,0.0,0.0,7.0,9.0,10.0,29.5,45.7
node_01,2026-04-27T17:32:15,0.0,0.0,0.0,7.0,9.0,10.0,29.5,46.0
node_01,2026-04-27T17:33:17,0.0,0.0,0.0,7.0,9.0,10.0,29.5,46.0
node_01,2026-04-27T17:34:18,0.0,0.0,0.0,7.0,9.0,10.0,29.5,46.0
node_01,2026-04-27T17:35:24,0.0,0.0,0.0,7.0,9.0,10.0,29.5,46.2
node_01,2026-04-27T17:36:25,0.0,0.0,0.0,7.0,9.0,10.0,29.5,46.2
node_01,2026-04-27T17:01:10,0.0,0.0,0.0,9.0,12.0,15.0,28.2,42.3
node_01,2026-04-27T17:02:16,2.0,0.2,0.2,8.0,11.0,12.0,28.7,41.5
node_01,2026-04-27T17:03:17,2.0,0.2,0.1,123.0,151.0,175.0,28.9,41.1
node_01,2026-04-27T17:04:17,2.0,0.6,0.3,123.0,151.0,175.0,29.0,40.6
node_01,2026-04-27T17:05:19,1.0,0.1,0.1,123.0,151.0,175.0,29.0,40.5
node_01,2026-04-27T17:06:20,1.0,0.1,0.1,123.0,151.0,175.0,29.0,40.4
node_01,2026-04-27T17:07:20,1.0,0.0,0.1,123.0,151.0,175.0,29.1,40.1
node_01,2026-04-27T17:08:23,0.0,0.0,0.0,123.0,151.0,175.0,29.0,40.2
node_01,2026-04-27T17:09:29,0.0,0.0,0.0,123.0,151.0,175.0,29.1,40.0
node_01,2026-04-27T17:10:29,0.0,0.0,0.0,123.0,151.0,175.0,29.1,40.1
node_01,2026-04-27T17:11:31,0.0,0.0,0.0,123.0,151.0,175.0,29.0,40.0
node_01,2026-04-27T17:12:31,3.0,0.4,0.3,123.0,151.0,175.0,29.1,40.1
node_01,2026-04-27T17:13:31,3.0,0.3,0.2,123.0,151.0,175.0,29.1,40.1
node_01,2026-04-27T17:14:34,2.0,0.2,0.2,123.0,151.0,175.0,29.1,40.0
node_01,2026-04-27T17:15:34,1.0,0.1,0.1,123.0,151.0,175.0,29.1,39.8
node_01,2026-04-27T17:16:39,0.0,0.0,0.1,123.0,151.0,175.0,29.1,39.6
node_01,2026-04-27T17:17:40,0.0,0.1,0.0,123.0,151.0,175.0,29.1,39.4
node_01,2026-04-27T17:18:41,0.0,0.0,0.0,123.0,151.0,175.0,29.1,39.3
node_01,2026-04-27T17:19:41,0.0,0.0,0.0,123.0,151.0,175.0,29.1,39.4
node_01,2026-04-27T17:20:45,0.0,0.0,0.0,123.0,151.0,175.0,29.1,39.2
node_01,2026-04-27T17:21:46,0.0,0.0,0.0,123.0,151.0,175.0,29.1,39.2
node_01,2026-04-27T17:22:47,0.0,0.0,0.0,123.0,151.0,175.0,29.1,39.1
node_01,2026-04-27T17:23:49,0.0,0.0,0.0,123.0,151.0,175.0,29.1,38.9
node_01,2026-04-27T17:24:50,0.0,0.0,0.0,123.0,151.0,175.0,29.1,38.7
node_01,2026-04-27T17:25:51,0.0,0.0,0.0,123.0,151.0,175.0,29.1,38.3
node_01,2026-04-27T17:26:55,0.0,0.0,0.0,123.0,151.0,175.0,29.1,38.6
node_01,2026-04-27T17:27:56,0.0,0.0,0.0,123.0,151.0,175.0,29.1,38.5
node_01,2026-04-27T17:28:56,0.0,0.0,0.0,123.0,151.0,175.0,29.1,38.3
node_01,2026-04-27T17:30:03,0.0,0.0,0.0,123.0,151.0,175.0,29.0,38.2
node_01,2026-04-27T17:31:03,0.0,0.0,0.0,123.0,151.0,175.0,29.0,38.2
node_01,2026-04-27T17:32:04,0.0,0.0,0.0,123.0,151.0,175.0,29.0,37.9
node_01,2026-04-27T17:33:06,0.0,0.0,0.0,123.0,151.0,175.0,29.0,38.1
node_01,2026-04-27T17:34:08,3.0,0.7,0.4,123.0,151.0,175.0,29.0,38.1
node_01,2026-04-27T17:35:09,0.0,0.0,0.0,123.0,151.0,175.0,29.0,38.0
node_01,2026-04-27T17:36:11,0.0,0.0,0.0,123.0,151.0,175.0,29.0,47.0
node_01,2026-04-27T17:37:13,0.0,0.0,0.0,123.0,151.0,175.0,29.1,48.6
node_01,2026-04-27T17:38:13,22.0,2.7,2.5,123.0,151.0,175.0,29.3,50.0
node_01,2026-04-27T17:39:19,30.0,3.2,3.1,123.0,151.0,175.0,29.5,51.9
node_01,2026-04-27T17:40:24,37.0,3.1,3.4,123.0,151.0,175.0,29.8,51.3
node_01,2026-04-27T17:41:24,35.0,3.8,3.6,123.0,151.0,175.0,30.0,50.8
node_01,2026-04-27T17:42:31,22.0,2.2,2.2,123.0,151.0,175.0,30.3,50.2
node_01,2026-04-27T17:43:31,17.0,1.7,1.7,123.0,151.0,175.0,30.5,50.1
node_01,2026-04-27T17:44:37,14.0,1.6,1.5,123.0,151.0,175.0,30.7,49.8
node_01,2026-04-27T17:45:39,7.0,0.7,0.7,123.0,151.0,175.0,30.9,49.6
node_01,2026-04-27T17:46:42,4.0,0.4,0.4,123.0,151.0,175.0,31.2,49.7
node_01,2026-04-27T17:47:42,8.0,0.8,0.8,123.0,151.0,175.0,31.4,49.5
node_01,2026-04-27T17:48:45,5.0,0.5,0.5,123.0,151.0,175.0,31.5,48.7
node_01,2026-04-27T17:49:45,3.0,0.3,0.3,123.0,151.0,175.0,31.7,47.8
node_01,2026-04-27T17:50:46,3.0,0.3,0.3,123.0,151.0,175.0,31.8,47.7
node_01,2026-04-27T17:51:51,2.0,0.2,0.2,123.0,151.0,175.0,32.0,47.0
node_01,2026-04-27T17:52:53,1.0,0.1,0.1,123.0,151.0,175.0,32.2,46.7
node_01,2026-04-27T17:53:54,1.0,0.1,0.1,123.0,151.0,175.0,32.3,46.6
node_01,2026-04-27T17:55:00,1.0,0.1,0.1,123.0,151.0,175.0,32.4,46.4
node_01,2026-04-27T17:01:11,2.0,0.2,0.2,12.0,15.0,17.0,26.8,41.2
node_01,2026-04-27T17:02:13,2.0,0.2,0.2,12.0,15.0,17.0,27.4,40.2
node_01,2026-04-27T17:03:13,1.0,0.2,0.2,13.0,17.0,19.0,27.6,39.6
node_01,2026-04-27T17:01:10,0.0,0.0,0.0,8.0,11.0,13.0,31.6,44.5
node_01,2026-04-27T17:02:12,0.0,0.0,0.0,8.0,11.0,12.0,31.6,44.1
node_01,2026-04-27T17:03:18,0.0,0.0,0.0,4.0,6.0,6.0,31.6,43.7
