co_ppm,so2_ppm,temperature_c,humidity_pct,device_health,hour,near_school,near_clinic,risk_class
27.59,4.62,38.06,74.0,1,18,0,0,medium
25.94,8.69,25.68,51.77,1,10,0,0,medium
50.66,7.36,43.3,62.38,1,23,0,0,high
7.02,15.9,22.61,83.03,1,0,0,1,medium
52.93,9.75,28.38,80.21,0,8,0,0,high
2.5,9.41,20.85,43.36,1,10,0,0,low
2.58,5.37,44.92,57.66,1,12,0,0,medium
4.25,4.61,29.44,82.74,1,0,1,0,low
1.07,0.66,23.88,33.64,1,6,1,0,low
3.66,16.97,40.99,85.02,1,22,0,0,medium
12.83,1.16,42.19,61.75,1,2,0,0,medium
23.39,4.97,25.12,41.99,1,6,0,0,medium
25.59,16.51,35.62,45.19,1,2,0,0,high
22.65,15.4,27.36,91.13,1,23,0,0,high
3.29,6.06,38.54,72.41,1,8,0,1,medium
11.83,8.63,20.46,88.57,1,3,0,0,medium
11.05,0.25,23.5,39.78,1,7,0,0,low
9.82,4.73,43.97,33.83,1,18,0,0,low
30.37,16.27,34.16,55.7,1,21,0,0,high
5.36,2.11,41.16,91.64,1,8,1,0,medium
13.03,6.49,30.87,38.48,1,4,0,1,medium
36.1,5.2,44.05,79.25,1,16,0,0,high
6.67,11.84,37.31,83.69,1,11,0,1,medium
18.2,11.85,37.44,42.3,1,17,0,0,medium
12.92,6.33,36.11,68.76,1,11,0,0,medium
6.64,15.48,27.88,60.46,1,12,0,1,medium
5.31,7.1,39.97,94.85,1,16,0,0,medium
24.19,4.62,38.44,37.91,1,13,0,1,high
30.35,1.36,21.13,28.21,1,3,0,1,medium
18.42,5.85,43.62,55.06,1,6,1,0,high
5.68,14.69,25.77,33.24,1,16,1,1,high
33.3,2.07,34.93,59.38,1,2,1,0,medium
17.63,4.2,33.42,64.47,1,1,0,0,low
18.37,4.01,20.89,44.68,1,10,0,0,low
11.39,12.35,22.03,36.51,1,4,1,0,high
5.01,12.54,36.55,60.78,1,0,1,0,medium
11.99,11.86,37.0,66.4,1,6,1,1,high
16.88,4.24,20.03,61.71,1,11,0,0,low
18.45,6.79,35.85,60.5,1,5,0,0,medium
12.5,5.01,38.84,79.16,1,3,0,0,medium
24.81,7.38,35.52,23.43,1,14,1,0,high
6.41,18.46,31.15,40.52,1,16,0,1,medium
11.08,4.24,39.32,37.25,1,2,1,0,medium
21.52,6.09,29.94,40.57,1,0,0,0,medium
18.38,8.67,34.07,55.36,1,13,0,0,medium
9.25,19.09,39.92,42.06,1,2,0,0,medium
0.54,19.21,33.96,36.92,1,21,0,0,medium
31.17,4.62,21.81,49.44,1,5,0,0,medium
1.57,2.82,44.67,30.69,1,21,0,0,low
11.24,13.47,40.61,46.84,1,5,0,0,high
12.51,4.43,35.91,72.99,0,5,0,0,low
8.09,15.57,32.11,69.56,1,5,1,0,medium
17.49,20.25,21.51,38.53,1,12,0,0,high
13.55,10.07,21.09,32.13,0,18,0,1,high
15.4,2.37,21.8,22.3,1,11,0,1,medium
17.55,8.85,39.19,57.86,1,18,0,0,medium
23.69,13.93,30.54,40.76,1,21,0,0,high
11.32,4.44,30.13,65.14,1,13,1,0,medium
18.25,1.26,31.13,58.61,1,1,0,0,low
11.22,13.67,34.71,64.9,1,22,0,0,medium
9.2,7.07,40.72,52.32,1,10,1,0,medium
3.49,16.87,33.34,78.63,1,23,0,1,medium
2.34,5.12,33.28,90.25,0,22,0,0,low
7.36,7.7,29.93,55.99,1,1,0,1,medium
5.31,7.46,33.31,29.43,1,19,1,0,medium
2.13,3.94,24.43,71.95,1,10,0,0,low
38.92,7.76,43.27,71.71,1,18,1,1,emergency
23.97,0.95,35.12,43.86,1,15,1,0,medium
22.44,8.35,43.14,52.86,1,12,1,0,high
5.91,7.31,28.11,47.48,1,20,0,0,low
4.62,0.59,34.68,32.63,1,1,0,0,low
36.05,0.3,28.53,48.51,1,4,0,0,medium
47.03,19.06,33.03,81.68,1,15,0,1,high
14.86,5.74,32.15,39.26,1,14,0,0,medium
17.41,3.61,40.58,59.19,1,11,0,0,medium
32.18,7.53,44.07,56.27,1,0,0,0,high
5.08,30.35,36.17,33.11,1,9,1,0,high
15.81,3.6,30.59,70.07,1,3,0,0,low
21.77,9.61,33.38,33.38,1,2,0,0,medium
8.7,17.4,44.69,30.23,1,2,0,0,medium
2.1,8.89,42.64,77.95,1,4,1,0,medium
26.28,3.84,32.98,25.07,1,20,0,0,medium
3.73,5.47,21.31,48.39,1,2,1,0,medium
2.56,9.99,37.25,35.07,1,22,1,0,medium
12.37,4.27,44.81,89.53,1,20,0,0,medium
3.01,8.33,23.98,24.73,1,22,0,0,medium
23.27,7.13,29.92,53.54,1,22,0,0,medium
19.31,0.76,29.93,60.48,1,23,0,0,low
26.5,10.12,20.57,31.53,1,13,1,0,high
7.55,6.54,39.12,33.11,1,8,1,0,medium
20.73,12.88,22.0,78.25,1,12,1,1,high
12.12,5.54,34.11,34.38,1,10,1,0,medium
7.05,1.11,39.57,39.9,1,15,0,0,low
2.57,12.58,30.65,29.8,1,2,0,0,medium
17.28,11.41,30.4,56.1,0,14,0,0,medium
16.31,2.21,35.73,34.91,0,3,0,0,low
11.58,25.94,23.18,84.85,1,17,0,0,high
5.41,14.48,26.37,83.07,0,7,0,0,medium
4.19,8.2,21.67,58.88,1,11,0,0,low
20.49,7.97,21.78,20.91,1,20,0,0,high
8.02,3.98,33.74,82.29,0,9,0,0,low
26.13,13.25,29.55,35.43,1,3,1,0,high
6.08,3.87,35.05,63.68,1,1,0,0,low
22.22,4.04,30.99,65.97,1,19,0,0,medium
3.5,1.86,41.53,83.49,1,17,0,0,low
22.02,8.78,21.35,44.0,1,21,0,0,medium
32.91,4.02,32.21,31.3,1,21,0,0,medium
14.32,10.03,41.83,67.72,1,14,0,0,high
1.89,9.86,24.85,85.99,1,9,1,1,medium
15.03,2.76,33.1,83.6,1,11,1,0,medium
30.92,1.63,27.64,85.75,1,3,0,0,medium
4.25,4.57,20.05,33.38,0,13,0,0,low
8.72,4.2,21.62,63.5,1,3,0,0,low
53.42,5.21,35.91,31.17,1,11,1,0,high
12.27,0.15,28.2,52.55,1,19,0,1,medium
20.5,2.99,35.94,57.21,1,14,0,1,medium
24.06,21.9,29.06,45.09,0,16,0,0,high
31.91,4.08,32.02,52.64,1,3,0,0,medium
3.42,5.87,23.97,65.77,1,19,0,1,medium
4.88,3.04,26.24,40.4,1,9,1,0,low
13.31,5.83,34.05,45.94,1,6,0,0,medium
15.14,19.75,29.84,82.09,1,13,1,1,high
20.42,2.06,31.6,92.9,1,8,0,0,medium
5.7,5.85,44.51,37.06,1,10,0,0,medium
5.67,7.12,24.14,90.93,1,1,0,1,medium
33.51,5.41,22.8,46.7,1,18,1,0,high
6.36,4.36,32.98,35.37,1,21,0,0,low
12.46,10.54,33.81,27.06,1,11,0,0,medium
14.58,3.49,39.39,92.34,1,9,0,0,medium
5.76,12.75,24.9,87.27,1,19,0,0,medium
2.47,15.86,32.68,64.86,0,7,1,0,medium
9.95,2.28,42.06,80.27,1,15,1,0,medium
15.31,3.96,44.49,69.21,1,4,0,0,medium
17.73,8.49,24.69,84.36,1,17,0,0,medium
3.31,13.97,42.0,59.41,1,23,0,0,medium
21.25,5.83,35.34,52.66,1,16,1,0,high
12.01,7.39,28.13,71.47,0,6,0,0,medium
9.76,4.05,29.01,25.14,1,20,0,1,low
15.13,9.53,26.51,88.04,1,22,0,0,medium
3.37,4.1,30.32,80.18,1,16,0,0,low
9.77,9.09,42.77,76.55,1,19,1,0,medium
41.55,12.81,31.25,36.38,1,3,0,0,high
11.49,5.22,27.43,42.49,1,3,0,1,medium
8.73,11.67,35.65,59.85,1,15,0,0,medium
6.21,6.85,22.87,27.04,1,3,1,0,medium
7.58,7.99,23.44,45.56,1,21,0,0,low
33.65,11.28,22.61,48.84,1,21,0,0,high
15.16,6.57,42.29,20.22,0,5,0,0,high
9.79,0.67,27.02,35.52,1,5,1,0,low
14.57,8.27,30.96,36.39,1,21,1,0,medium
13.7,3.49,32.69,85.57,1,10,0,0,low
30.81,3.63,26.45,70.6,1,6,1,0,medium
20.63,9.83,26.42,69.9,1,3,0,0,medium
31.52,4.44,28.87,90.63,1,8,0,1,medium
12.18,30.36,23.86,32.89,1,20,1,0,high
4.08,7.24,27.38,56.45,1,4,0,0,low
27.25,3.12,37.31,52.24,1,22,0,1,medium
3.0,9.37,34.48,76.95,1,10,0,0,low
32.66,11.56,24.17,52.29,1,23,1,1,high
13.85,0.62,29.65,79.38,1,16,0,0,low
7.09,3.3,20.69,57.91,1,3,0,0,low
15.93,1.07,23.68,56.59,1,4,1,0,medium
2.85,14.74,27.21,92.09,1,12,1,0,medium
15.34,31.6,26.17,82.89,1,1,0,0,high
1.77,2.04,33.94,46.05,1,23,1,0,low
5.47,10.49,27.51,44.44,1,18,0,0,medium
6.7,31.77,44.1,88.21,1,12,0,0,high
2.67,3.74,31.67,22.58,1,18,0,1,medium
12.36,8.07,27.14,35.24,1,14,0,1,medium
23.9,9.84,31.09,65.16,1,6,1,0,high
14.67,5.71,42.33,24.68,1,4,0,0,high
25.2,6.57,38.07,71.94,1,20,0,1,high
8.5,12.9,20.36,75.34,1,0,0,0,medium
16.94,9.38,37.5,27.83,1,1,0,0,medium
16.63,5.73,40.21,91.08,0,18,0,0,medium
7.38,17.36,21.26,25.47,1,14,0,1,medium
11.69,3.37,20.55,63.74,1,16,0,1,medium
7.91,16.45,42.22,57.73,1,9,1,0,high
3.39,0.28,27.58,41.75,1,3,0,0,low
36.68,0.97,35.74,24.07,1,14,0,0,high
11.41,10.93,34.58,55.02,1,11,1,0,high
32.85,1.85,27.83,79.17,1,12,0,0,medium
5.72,3.5,34.12,89.76,1,22,0,0,low
15.04,7.71,43.77,72.69,1,20,0,0,medium
12.3,6.65,41.65,55.7,1,13,1,0,high
4.91,7.87,37.99,47.84,1,21,1,0,medium
3.32,1.43,36.29,75.39,1,11,0,0,low
20.73,3.3,36.67,81.75,1,20,0,1,medium
13.12,1.48,23.11,51.02,1,14,0,1,medium
4.13,10.39,29.94,77.17,1,15,1,0,medium
15.31,10.78,26.64,21.32,1,0,1,0,high
17.87,20.63,33.71,85.94,1,10,1,0,high
37.4,4.51,37.75,90.3,1,12,1,0,high
8.43,9.84,29.14,36.9,1,9,1,1,medium
12.14,12.5,36.07,80.74,1,5,0,0,medium
12.22,5.15,20.2,67.32,1,21,0,0,medium
13.09,9.31,35.52,89.65,1,13,0,0,medium
10.38,5.68,21.25,83.27,1,12,0,0,medium
3.7,8.25,30.17,91.48,1,11,0,0,low
5.72,7.7,24.75,79.44,1,1,0,0,low
6.65,6.2,39.33,43.25,1,10,0,0,medium
15.69,6.63,20.23,46.78,1,9,1,0,medium
32.25,6.98,26.35,38.44,1,11,0,0,medium
3.33,11.3,21.12,77.08,1,19,0,0,medium
10.1,1.17,44.81,48.97,1,17,0,0,medium
8.25,1.48,20.9,33.14,1,12,0,0,low
11.96,0.84,40.99,30.79,1,22,1,1,high
34.55,6.03,25.12,64.33,1,18,0,0,medium
31.34,1.72,31.5,27.13,1,3,0,0,medium
5.11,1.05,20.94,29.59,1,21,0,0,low
14.8,13.24,24.78,43.26,1,3,1,1,high
10.26,2.55,40.42,33.62,1,14,1,1,high
3.84,17.4,21.96,60.84,1,1,1,0,medium
2.39,11.66,22.56,58.54,1,3,1,0,medium
8.75,4.9,23.05,29.38,1,16,0,0,low
8.65,4.56,22.97,77.35,1,12,1,0,low
4.32,4.86,29.61,21.89,1,7,1,0,medium
12.16,36.02,33.52,52.22,1,15,1,0,high
14.01,16.7,41.63,31.8,1,22,0,1,high
5.93,6.68,41.27,93.64,1,19,0,0,medium
1.85,9.01,35.53,45.05,1,13,0,0,low
6.58,5.53,21.8,35.41,1,0,0,0,low
3.9,9.74,22.53,40.84,1,9,1,0,medium
15.72,6.45,44.47,61.66,1,19,0,0,medium
2.7,3.84,26.71,41.56,1,21,0,0,low
10.64,3.59,22.3,61.5,1,21,1,0,medium
26.06,13.39,26.78,64.83,1,0,0,0,high
3.44,9.64,39.31,66.89,1,12,0,0,medium
2.58,9.69,29.98,82.99,1,5,1,0,medium
11.46,5.81,42.86,52.55,1,8,0,1,high
14.22,1.49,25.1,69.05,1,14,1,0,medium
5.92,3.7,21.56,54.42,1,0,0,0,low
16.79,9.41,25.01,66.26,1,23,1,0,medium
8.46,17.5,28.34,84.89,1,4,0,0,medium
43.69,3.49,30.69,53.19,1,4,1,0,high
31.13,6.67,34.76,50.57,1,23,1,0,high
7.75,17.25,23.99,32.03,0,9,1,0,medium
20.61,9.91,20.2,89.34,1,9,0,0,medium
23.95,4.53,42.84,91.46,1,9,0,0,medium
6.18,2.47,40.72,46.17,1,4,0,1,medium
15.89,10.32,24.01,70.52,1,13,0,0,medium
32.83,4.54,39.74,42.26,1,16,0,0,medium
24.98,21.33,27.78,32.52,1,18,0,0,high
14.16,6.87,41.79,70.92,1,9,0,0,medium
23.46,5.5,22.88,65.42,1,6,0,0,medium
7.89,1.99,32.7,51.45,0,16,1,0,low
22.35,5.58,42.04,74.85,1,23,1,1,high
11.19,15.19,31.28,33.76,1,12,0,0,medium
35.85,2.52,25.2,23.15,1,14,0,1,high
13.48,4.17,40.1,52.51,1,9,0,0,medium
3.61,1.59,31.61,74.21,1,10,1,0,low
14.76,8.37,22.38,27.78,0,3,1,0,medium
19.26,11.63,23.51,70.34,1,6,0,0,medium
4.29,5.01,30.83,78.07,1,20,0,0,low
36.85,5.6,27.85,38.11,1,11,1,0,high
42.31,17.03,31.27,91.89,1,5,0,0,high
5.75,11.22,31.58,40.88,1,6,0,0,medium
17.4,10.45,22.21,72.42,1,7,0,0,medium
15.12,1.41,28.08,87.34,1,7,1,0,medium
6.6,8.19,37.67,92.54,1,11,0,0,low
15.32,8.43,21.01,50.84,1,19,1,1,high
10.03,6.48,20.39,21.29,1,16,1,0,high
15.52,14.04,41.61,64.02,1,18,0,0,high
3.21,4.2,43.23,45.64,1,4,1,1,medium
24.97,9.92,21.33,54.11,1,22,1,0,high
13.59,10.63,44.36,25.24,1,0,0,0,high
17.53,3.08,40.93,32.73,0,15,0,0,medium
1.33,9.2,34.61,82.53,1,21,0,0,low
12.92,3.31,42.02,86.22,1,6,0,1,medium
10.37,15.1,23.13,35.04,1,16,0,1,high
7.68,4.34,40.42,83.94,1,18,0,0,low
9.98,6.18,43.56,25.61,1,19,1,0,medium
3.53,1.17,28.16,42.45,1,9,0,0,low
7.96,4.89,41.62,31.62,1,1,1,0,medium
14.93,6.28,27.59,43.38,0,22,0,0,medium
3.76,2.23,34.36,70.04,1,14,0,0,low
0.75,17.97,20.4,59.21,1,8,0,0,medium
15.21,12.89,28.21,54.05,1,7,0,1,high
8.66,22.13,36.12,37.24,1,12,0,0,medium
33.39,4.06,24.57,81.93,1,5,1,0,medium
5.62,15.14,22.18,61.76,1,4,0,0,medium
7.62,9.01,26.58,20.05,1,17,0,0,medium
9.1,8.86,27.35,37.78,1,22,0,0,low
2.16,6.31,39.01,31.59,1,17,0,0,medium
21.7,17.42,36.86,77.22,0,16,0,0,high
5.43,9.65,20.87,61.34,1,21,1,0,medium
6.74,2.39,42.87,34.19,1,11,0,1,medium
29.93,3.97,25.92,70.8,1,22,1,0,medium
25.03,3.27,27.07,51.39,1,20,1,0,medium
10.65,7.84,27.94,83.61,1,18,0,0,medium
9.54,10.61,33.58,46.02,1,18,0,0,medium
10.71,3.33,40.86,90.16,1,15,0,0,medium
7.73,3.87,28.54,53.66,1,2,0,0,low
26.31,11.54,42.61,81.31,1,15,1,0,high
8.45,10.1,28.92,76.81,1,15,0,0,medium
7.69,4.43,40.77,28.99,1,0,0,0,low
20.18,16.56,28.88,23.39,1,22,0,1,high
14.22,15.63,29.99,44.51,0,22,0,0,medium
6.23,5.46,42.39,78.76,1,18,0,0,medium
17.76,6.33,21.26,23.96,1,22,0,1,high
16.23,9.05,38.63,25.73,1,15,0,1,high
5.84,1.5,25.53,48.57,1,21,1,0,low
0.23,4.27,35.04,90.28,1,5,0,0,low
13.83,20.11,30.44,28.73,1,10,0,0,high
16.78,11.24,21.17,43.97,1,6,0,0,medium
4.32,20.24,21.75,49.64,1,15,1,0,high
5.51,1.51,38.29,91.86,1,7,0,0,low
14.82,2.32,27.87,23.23,1,6,1,1,high
4.84,7.48,30.78,48.43,1,9,1,0,medium
27.08,10.78,20.98,40.4,0,16,0,0,high
1.88,9.28,31.01,29.93,1,22,0,1,medium
8.67,19.33,23.01,90.39,1,18,1,0,medium
24.26,7.68,39.93,74.32,1,22,1,0,high
4.49,4.1,40.75,91.12,1,16,0,1,medium
9.75,4.05,34.35,49.47,0,15,0,0,low
10.73,7.18,44.35,60.81,1,14,0,1,high
7.68,3.91,40.81,80.42,1,23,0,0,low
12.31,1.65,28.3,69.71,1,4,1,0,medium
21.26,1.62,27.41,88.31,1,5,0,0,medium
14.29,8.87,28.44,80.21,1,21,0,1,medium
8.5,2.71,26.01,70.43,1,8,0,0,low
6.1,9.39,20.87,94.23,0,8,0,1,medium
18.04,14.24,27.24,55.08,1,19,0,0,medium
11.75,24.5,30.74,40.92,1,20,1,0,high
5.0,3.75,41.64,27.71,1,7,0,1,medium
19.0,6.38,36.31,38.83,1,12,0,1,medium
9.27,0.62,31.63,21.03,1,1,1,0,medium
19.07,14.17,35.84,80.41,1,14,1,0,high
11.78,35.16,35.02,45.57,1,11,0,1,high
2.38,12.28,34.53,39.02,1,15,0,0,medium
26.41,20.24,28.09,69.88,1,6,0,1,high
11.01,11.68,42.36,68.37,1,13,0,0,high
5.19,16.4,33.51,83.84,1,2,1,0,medium
8.1,14.94,25.64,49.24,1,11,0,0,medium
11.38,8.19,44.89,63.7,1,20,0,0,medium
26.31,14.47,35.81,29.62,1,11,0,0,high
8.98,16.16,39.51,70.53,1,19,0,0,medium
6.18,3.59,27.06,42.36,1,8,0,0,low
13.53,3.0,35.94,81.51,0,10,0,0,low
34.57,14.02,33.62,30.18,1,6,0,0,high
17.96,2.95,42.78,21.57,1,12,1,0,high
26.59,2.25,31.35,50.92,1,22,1,0,medium
1.72,12.82,21.92,32.45,0,16,0,0,medium
14.68,6.51,35.41,54.31,1,22,0,0,medium
9.18,4.98,33.13,28.34,1,0,0,0,low
16.86,3.57,33.81,64.64,1,2,0,0,low
14.31,0.94,23.71,32.91,1,2,0,0,low
6.08,7.6,34.67,82.13,1,10,1,1,medium
3.07,2.69,28.08,94.08,1,5,1,0,low
16.07,5.58,43.76,21.65,1,20,0,0,high
41.66,14.89,22.91,29.53,1,17,0,0,high
2.36,8.49,39.99,61.6,1,5,0,0,medium
26.35,10.01,30.38,21.07,1,12,1,1,emergency
8.5,11.64,29.35,66.9,0,2,0,0,medium
7.65,6.03,32.08,48.71,1,19,0,0,low
7.3,33.35,26.45,28.52,1,6,0,0,medium
42.87,10.25,41.05,42.25,0,11,1,0,emergency
20.3,14.25,37.27,74.66,0,12,0,0,high
4.95,9.61,39.15,51.03,1,0,0,1,medium
17.13,6.97,24.24,23.82,1,17,0,0,medium
20.7,6.42,28.75,78.68,1,20,0,1,high
10.98,20.49,35.31,21.25,1,11,1,0,high
26.23,8.24,21.49,71.9,1,2,0,0,medium
25.28,22.89,39.22,94.56,0,22,1,1,emergency
7.16,2.26,30.46,46.84,1,22,0,0,low
6.94,2.71,40.69,39.09,1,15,0,0,low
18.15,20.72,35.25,56.61,1,4,1,0,high
5.13,10.05,42.7,38.19,1,10,0,1,high
10.67,1.96,33.76,50.55,1,0,0,0,low
13.86,13.9,40.25,52.23,1,18,0,0,high
8.53,4.79,30.9,64.55,1,5,0,0,low
2.72,7.16,40.3,21.04,1,8,0,0,medium
5.47,2.17,36.56,80.58,1,12,0,0,low
8.43,5.17,21.43,30.32,0,4,0,1,medium
41.72,6.67,39.0,43.44,1,22,0,1,high
9.93,3.53,23.78,31.39,1,22,0,0,low
17.15,19.05,27.8,52.06,1,4,0,0,medium
5.64,3.88,29.26,76.35,1,22,0,0,low
10.03,6.96,26.69,80.93,1,15,1,1,high
20.27,4.68,23.67,71.77,1,22,0,0,medium
4.54,6.82,41.54,30.3,1,20,0,0,medium
22.49,3.65,34.95,26.15,1,2,1,0,medium
12.34,5.92,29.58,32.62,1,20,0,0,medium
1.95,11.01,44.53,89.94,1,2,1,0,high
4.87,16.89,22.81,50.58,1,14,0,0,medium
8.53,9.74,41.59,29.92,1,19,0,1,medium
2.91,1.92,31.02,85.99,1,5,0,0,low
3.05,3.11,41.33,70.52,1,15,0,0,low
1.28,7.44,30.88,89.05,1,8,0,0,low
19.15,11.93,38.07,37.39,1,3,0,0,high
21.84,17.36,20.89,94.57,1,22,1,0,high
20.59,6.19,37.16,81.13,1,17,1,0,high
5.71,8.2,44.67,76.59,1,0,1,0,medium
11.47,8.07,28.15,91.55,1,5,0,1,medium
2.01,2.54,21.7,34.03,1,22,0,0,low
5.89,8.12,28.48,73.17,1,5,0,0,low
34.6,8.44,21.76,88.21,1,19,1,0,high
5.36,19.97,31.0,56.21,1,0,1,0,medium
10.21,7.13,43.81,76.59,1,18,1,0,high
51.72,9.45,36.58,28.87,1,18,0,0,high
23.51,6.0,24.48,49.42,1,1,1,0,high
15.8,16.02,35.69,34.4,1,8,0,0,medium
7.27,9.41,34.05,70.36,1,9,0,0,low
13.75,2.81,25.94,42.49,1,23,0,0,low
9.08,3.05,31.81,48.37,1,12,0,0,low
18.16,2.42,35.25,38.06,1,12,0,0,low
25.41,10.04,26.14,80.92,1,16,0,1,high
8.16,8.46,33.85,60.09,1,15,0,0,low
33.9,6.67,34.47,24.09,1,14,0,1,high
10.15,22.7,35.61,82.2,1,0,1,0,high
10.54,4.24,41.21,47.24,1,20,0,0,medium
24.21,4.93,29.69,63.76,1,5,0,0,medium
11.29,1.7,38.72,56.2,1,19,0,0,medium
13.76,3.97,33.39,66.37,1,11,0,0,low
22.34,11.36,33.77,31.49,1,2,0,0,high
3.89,3.53,32.43,33.38,1,19,1,0,low
7.06,0.37,41.74,26.61,1,4,0,0,low
16.97,3.22,24.91,35.88,0,20,1,0,medium
12.92,7.99,37.4,34.47,1,1,0,0,medium
8.65,3.65,35.01,32.47,1,21,1,0,low
5.63,10.16,20.62,38.66,1,10,0,0,medium
7.1,11.44,32.67,84.2,1,21,0,0,medium
1.19,6.81,31.87,45.22,1,5,0,0,low
5.47,6.51,35.35,37.75,1,17,0,0,low
7.79,10.5,39.22,24.65,1,10,1,0,high
1.53,2.14,43.59,38.82,1,4,0,0,low
34.47,21.44,22.67,47.51,1,19,1,1,emergency
19.29,33.32,41.2,71.39,1,22,0,0,high
10.18,3.14,33.68,32.34,0,18,0,1,medium
19.21,34.32,44.09,48.27,1,1,0,0,high
8.31,12.83,40.05,32.04,1,10,1,0,high
8.44,3.44,39.01,70.73,1,15,0,0,low
18.77,1.31,41.18,35.45,1,3,1,1,high
8.96,7.42,23.02,93.27,1,6,1,0,medium
17.48,5.81,37.52,77.4,1,9,0,0,medium
5.48,1.31,43.86,88.89,0,3,1,0,medium
9.2,16.41,43.69,36.41,1,8,0,0,medium
8.55,4.24,25.76,41.69,1,16,0,0,low
22.64,7.8,36.62,51.45,1,8,0,0,medium
12.02,17.22,32.86,84.26,1,15,0,0,medium
19.12,6.22,38.92,71.68,1,17,0,0,medium
28.12,7.89,44.3,58.45,1,17,1,0,high
27.2,6.95,44.33,35.11,0,20,0,1,high
3.37,6.62,42.28,54.53,1,18,0,0,medium
14.67,15.69,21.18,21.46,1,19,0,0,high
18.63,8.93,33.39,55.77,1,5,1,0,medium
14.21,13.06,31.81,44.32,1,18,0,1,high
12.76,3.35,30.99,58.28,1,19,0,1,medium
